NexPond-359781	-36.09714	-31.703926
NexPond-359877	-35.9238	-32.097725
NexPond-360361	-36.224125	-31.768791
NexPond-360457	-36.25937	-31.646675
NexPond-361337	-36.699326	-31.47476
NexPond-361433	-35.59965	-32.25773
NexPond-362428	-36.64281	-31.550642
NexPond-363907	-52.52894	-29.159035
NexPond-364464	-45.09183	-25.92467
NexPond-371834	-56.352882	-25.194838
NexPond-372754	-58.67165	-16.884554
NexPond-373158	-55.794052	-16.9462
NexPond-373922	-52.308075	-7.8574524
NexPond-375034	-56.84432	-21.547304
NexPond-375474	-53.69476	-7.4565578
NexPond-375570	-50.67823	-4.801599
NexPond-376014	-50.388004	-8.607793
NexPond-376110	-56.55936	-15.388601
NexPond-376734	-50.6727	-7.2949753
NexPond-377582	-57.516136	-20.635227
NexPond-377598	-57.925343	-13.650779
NexPond-379118	-57.148792	-10.310362
NexPond-379214	-57.727448	-19.553322
NexPond-379543	-55.79998	-23.618586
NexPond-379639	-55.34348	-25.649502
NexPond-380335	-58.023144	-18.423351
NexPond-380431	-47.533703	-4.6323013
NexPond-380536	-57.143482	-10.94834
NexPond-381057	-56.924805	-11.22782
NexPond-381153	-57.27901	-21.733082
NexPond-381514	-53.17435	-7.6315093
NexPond-381610	-55.24328	-9.898723
NexPond-381714	-50.76675	-5.9244237
NexPond-381810	-54.074196	-7.814742
NexPond-382095	-50.715443	-5.3248715
NexPond-382191	-53.05898	-8.16061
NexPond-382684	-53.707638	-8.825168
NexPond-382780	-50.234013	-4.898044
NexPond-383050	-49.41103	-4.7957964
NexPond-383146	-52.436497	-6.823929
NexPond-383320	-58.239475	-12.780441
NexPond-383416	-59.363094	-11.852526
NexPond-383513	-54.103836	-9.436534
NexPond-383609	-55.712517	-15.0010395
NexPond-384114	-57.255386	-23.397596
NexPond-384210	-59.454697	-19.101173
NexPond-384498	-59.77243	-17.468712
NexPond-384594	-59.691635	-11.083011
NexPond-384694	-59.489113	-12.7272415
NexPond-384790	-58.882565	-12.547301
NexPond-385294	-48.830532	-4.7656107
NexPond-385390	-60.185677	-13.029984
NexPond-385972	-57.273308	-16.676807
NexPond-386068	-53.569935	-11.07085
NexPond-386578	-52.484818	-5.404764
NexPond-386674	-57.092308	-17.151829
NexPond-387140	-52.605583	-6.295829
NexPond-387236	-52.873493	-5.9196587
NexPond-387332	-59.223465	-18.031406
NexPond-387428	-58.33636	-12.959352
NexPond-387628	-52.873436	-7.6621842
NexPond-387724	-52.33883	-5.9740324
